epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.2332,0.77971,0.69678,1.12261,0.55488,0.55,0.51122,0.30587,1.54806,2.1704,2.20784,0.005941,0.005941,0.005941
43,43.2028,0.76095,0.68286,1.14366,0.46821,0.64136,0.53862,0.32485,1.65053,1.96983,2.31008,0.005842,0.005842,0.005842
44,44.1562,0.82675,0.70733,1.19021,0.44637,0.667,0.50695,0.28704,1.65598,2.20243,2.26221,0.005743,0.005743,0.005743
45,45.093,0.74801,0.71383,1.13213,0.44637,0.667,0.50695,0.28704,1.65598,2.20243,2.26221,0.005644,0.005644,0.005644
46,46.0486,0.72349,0.6063,1.07918,0.70203,0.44112,0.45145,0.25154,1.90053,2.60617,2.63651,0.005545,0.005545,0.005545
47,46.9933,0.72615,0.57454,1.10964,0.63161,0.4453,0.51857,0.30045,1.90606,2.29938,2.6119,0.005446,0.005446,0.005446
48,47.9442,0.73856,0.63078,1.12768,0.4975,0.56738,0.72969,0.4252,1.76973,1.9511,2.39681,0.005347,0.005347,0.005347
49,48.8906,0.69628,0.58185,1.05476,0.4975,0.56738,0.72969,0.4252,1.76973,1.9511,2.39681,0.005248,0.005248,0.005248
50,49.8817,0.68533,0.57254,1.09487,0.45228,0.64897,0.65576,0.34355,1.92146,1.91262,2.69711,0.005149,0.005149,0.005149
51,50.9438,0.70716,0.59603,1.05201,0.81811,0.43333,0.66967,0.32223,1.8328,1.59975,2.52758,0.00505,0.00505,0.00505
52,51.9039,0.75462,0.62771,1.12635,0.64826,0.58333,0.76613,0.41236,1.82074,1.38627,2.43445,0.004951,0.004951,0.004951
53,52.864,0.66231,0.57655,1.0521,0.64826,0.58333,0.76613,0.41236,1.82074,1.38627,2.43445,0.004852,0.004852,0.004852
54,53.8118,0.66963,0.53883,1.0426,0.56272,0.68333,0.73558,0.40857,1.83424,1.53408,2.51374,0.004753,0.004753,0.004753
55,54.7696,0.665,0.59267,1.0839,0.65696,0.68333,0.83285,0.42542,1.81456,1.57682,2.49104,0.004654,0.004654,0.004654
56,55.7277,0.7026,0.60504,1.1161,0.5169,0.78333,0.87975,0.4679,1.69518,1.49668,2.28169,0.004555,0.004555,0.004555
57,56.6769,0.68493,0.59008,1.1102,0.5169,0.78333,0.87975,0.4679,1.69518,1.49668,2.28169,0.004456,0.004456,0.004456
58,57.6373,0.61194,0.47247,1.0077,0.69,0.6,0.88812,0.4938,1.75226,1.60982,2.35589,0.004357,0.004357,0.004357
59,58.6155,0.62678,0.55937,1.00605,0.48128,0.85,0.88806,0.47781,1.74676,1.42016,2.4012,0.004258,0.004258,0.004258
60,59.565,0.61351,0.48297,1.01641,0.60198,0.75,0.81553,0.49408,1.65771,1.71963,2.27224,0.004159,0.004159,0.004159
61,60.5024,0.5998,0.5021,1.00206,0.60198,0.75,0.81553,0.49408,1.65771,1.71963,2.27224,0.00406,0.00406,0.00406
62,61.4613,0.56809,0.46798,1.02156,0.51726,0.65,0.73046,0.42938,1.77655,1.99731,2.58509,0.003961,0.003961,0.003961
63,62.4071,0.59351,0.4858,1.06471,0.64832,0.65,0.75367,0.44848,1.62065,1.92807,2.22034,0.003862,0.003862,0.003862
64,63.3513,0.60279,0.50681,1.037,0.55015,0.75,0.81066,0.47848,1.69953,1.92736,2.35717,0.003763,0.003763,0.003763
65,64.28,0.69746,0.52799,1.14874,0.55015,0.75,0.81066,0.47848,1.69953,1.92736,2.35717,0.003664,0.003664,0.003664
66,65.2441,0.59501,0.43757,1.00074,0.56016,0.75,0.80084,0.49138,1.66237,1.84623,2.2701,0.003565,0.003565,0.003565
67,66.1917,0.59888,0.4351,1.05635,0.64762,0.75,0.75711,0.46582,1.62636,1.85591,2.34201,0.003466,0.003466,0.003466
68,67.1464,0.60865,0.46466,1.05192,0.65006,0.75,0.80344,0.47686,1.66337,1.751,2.34048,0.003367,0.003367,0.003367
69,68.0809,0.60127,0.4583,1.05525,0.65006,0.75,0.80344,0.47686,1.66337,1.751,2.34048,0.003268,0.003268,0.003268
70,69.0275,0.60382,0.48753,1.0241,0.61223,0.75,0.81575,0.48161,1.68796,1.84044,2.34273,0.003169,0.003169,0.003169
71,69.9991,0.53102,0.4343,0.98609,0.64413,0.7,0.80085,0.41931,1.73889,1.8245,2.42477,0.00307,0.00307,0.00307
72,71.0188,0.5511,0.44588,1.00353,0.61604,0.7,0.81575,0.4365,1.81276,1.69583,2.58949,0.002971,0.002971,0.002971
73,71.9794,0.6122,0.49124,1.08053,0.61604,0.7,0.81575,0.4365,1.81276,1.69583,2.58949,0.002872,0.002872,0.002872
74,72.9416,0.57745,0.46309,1.02079,0.5861,0.8,0.8655,0.48356,1.79206,1.61725,2.51703,0.002773,0.002773,0.002773
75,73.9247,0.50717,0.40783,0.98949,0.62968,0.8,0.8955,0.49839,1.80316,1.52331,2.61685,0.002674,0.002674,0.002674
76,74.9029,0.60506,0.49141,1.07165,0.54142,0.88747,0.84575,0.47242,1.64246,1.4953,2.4752,0.002575,0.002575,0.002575
77,75.8725,0.52779,0.40826,0.9949,0.54142,0.88747,0.84575,0.47242,1.64246,1.4953,2.4752,0.002476,0.002476,0.002476
78,76.8345,0.54678,0.46237,1.0364,0.66817,0.77126,0.83557,0.46957,1.64158,1.42716,2.44064,0.002377,0.002377,0.002377
79,77.7723,0.51975,0.41809,0.9836,0.68479,0.78425,0.8365,0.44242,1.65086,1.36235,2.39563,0.002278,0.002278,0.002278
80,78.729,0.45442,0.40161,0.98838,0.51371,0.83996,0.83672,0.45043,1.6651,1.39629,2.45183,0.002179,0.002179,0.002179
81,79.6644,0.47729,0.39225,0.93495,0.51371,0.83996,0.83672,0.45043,1.6651,1.39629,2.45183,0.00208,0.00208,0.00208
82,80.609,0.45132,0.37414,0.9317,0.54587,0.8,0.84199,0.44056,1.71359,1.45004,2.52695,0.001981,0.001981,0.001981
83,81.5675,0.46164,0.39317,0.98019,0.72456,0.76306,0.85355,0.44754,1.68977,1.4731,2.45219,0.001882,0.001882,0.001882
84,82.5314,0.46681,0.3747,0.97512,0.68467,0.69855,0.8373,0.44377,1.66117,1.46123,2.42991,0.001783,0.001783,0.001783
85,83.4684,0.45932,0.35594,0.97768,0.68467,0.69855,0.8373,0.44377,1.66117,1.46123,2.42991,0.001684,0.001684,0.001684
86,84.4371,0.4714,0.4507,0.97109,0.80269,0.69669,0.83863,0.46351,1.64926,1.43858,2.39807,0.001585,0.001585,0.001585
87,85.4009,0.46764,0.39308,0.96431,0.72416,0.71354,0.8106,0.41722,1.71563,1.44721,2.39004,0.001486,0.001486,0.001486
88,86.3509,0.47543,0.36316,0.95571,0.81264,0.78453,0.86699,0.46573,1.71219,1.36829,2.34244,0.001387,0.001387,0.001387
89,87.3008,0.4995,0.38855,0.97602,0.81264,0.78453,0.86699,0.46573,1.71219,1.36829,2.34244,0.001288,0.001288,0.001288
90,88.2656,0.49942,0.38228,1.00198,0.8488,0.77497,0.87342,0.45624,1.69647,1.33073,2.36791,0.001189,0.001189,0.001189
91,97.4525,0.40502,0.35582,0.90841,0.87136,0.76527,0.86237,0.46638,1.72247,1.26023,2.38021,0.00109,0.00109,0.00109
92,98.4078,0.37878,0.33866,0.95215,0.88789,0.76314,0.86159,0.43638,1.71422,1.27739,2.3483,0.000991,0.000991,0.000991
93,99.3549,0.34885,0.31955,0.89911,0.88789,0.76314,0.86159,0.43638,1.71422,1.27739,2.3483,0.000892,0.000892,0.000892
94,100.306,0.35229,0.34825,0.88369,0.86256,0.774,0.86979,0.45892,1.73485,1.29501,2.36666,0.000793,0.000793,0.000793
95,101.288,0.33274,0.31096,0.88439,0.66903,0.79016,0.86435,0.45601,1.72044,1.30562,2.37945,0.000694,0.000694,0.000694
96,102.248,0.34259,0.3127,0.87898,0.57445,0.89829,0.85982,0.46529,1.67237,1.29112,2.33227,0.000595,0.000595,0.000595
97,103.199,0.31023,0.27903,0.88733,0.57445,0.89829,0.85982,0.46529,1.67237,1.29112,2.33227,0.000496,0.000496,0.000496
98,104.154,0.32566,0.29691,0.85699,0.62603,0.79671,0.86251,0.47899,1.65387,1.26977,2.31926,0.000397,0.000397,0.000397
99,105.11,0.32836,0.31428,0.92203,0.62954,0.79641,0.8624,0.48339,1.63189,1.28355,2.32146,0.000298,0.000298,0.000298
100,106.078,0.32285,0.29805,0.88272,0.63791,0.7965,0.81186,0.44147,1.6136,1.30276,2.31484,0.000199,0.000199,0.000199
