epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,196.773,0.31599,0.3387,0.9248,0.76702,0.6,0.8975,0.48614,1.60304,1.43176,2.2625,7.42917e-05,7.42917e-05,7.42917e-05
183,197.853,0.30275,0.27763,0.91642,0.77016,0.6,0.89927,0.48692,1.60024,1.432,2.27519,7.07574e-05,7.07574e-05,7.07574e-05
184,198.945,0.30696,0.26114,0.92396,0.76715,0.6,0.88958,0.47254,1.60456,1.41007,2.24853,6.72231e-05,6.72231e-05,6.72231e-05
185,200.007,0.30453,0.28036,0.91598,0.76715,0.6,0.88958,0.47254,1.60456,1.41007,2.24853,6.36888e-05,6.36888e-05,6.36888e-05
186,201.108,0.30246,0.26386,0.87424,0.76098,0.6,0.90162,0.47477,1.6297,1.39963,2.26679,6.01545e-05,6.01545e-05,6.01545e-05
187,202.193,0.31844,0.26907,0.90362,0.76671,0.6,0.90035,0.46401,1.64669,1.39961,2.28488,5.66202e-05,5.66202e-05,5.66202e-05
188,203.259,0.31569,0.30257,0.92645,0.73878,0.6,0.80085,0.46264,1.659,1.3635,2.26154,5.30859e-05,5.30859e-05,5.30859e-05
189,204.309,0.31885,0.26661,0.92174,0.73878,0.6,0.80085,0.46264,1.659,1.3635,2.26154,4.95516e-05,4.95516e-05,4.95516e-05
190,205.39,0.26824,0.2699,0.87674,0.71762,0.6,0.80085,0.45138,1.66409,1.34396,2.25392,4.60173e-05,4.60173e-05,4.60173e-05
191,222.538,0.26161,0.25796,0.8535,0.71306,0.6,0.79374,0.43987,1.66953,1.37566,2.2751,4.2483e-05,4.2483e-05,4.2483e-05
192,223.614,0.23357,0.24714,0.81548,0.59681,0.73111,0.79289,0.43796,1.67825,1.39676,2.30213,3.89487e-05,3.89487e-05,3.89487e-05
193,224.649,0.25368,0.27497,0.90687,0.59681,0.73111,0.79289,0.43796,1.67825,1.39676,2.30213,3.54144e-05,3.54144e-05,3.54144e-05
194,225.696,0.23332,0.27705,0.84272,0.61282,0.72641,0.79229,0.43753,1.68475,1.38105,2.31632,3.18801e-05,3.18801e-05,3.18801e-05
195,226.731,0.23526,0.25519,0.85215,0.61394,0.72082,0.79894,0.44011,1.68882,1.37384,2.31556,2.83458e-05,2.83458e-05,2.83458e-05
196,227.785,0.23552,0.26688,0.82611,0.63662,0.70805,0.78781,0.43041,1.6869,1.3368,2.31397,2.48115e-05,2.48115e-05,2.48115e-05
197,228.799,0.22478,0.2219,0.83821,0.63662,0.70805,0.78781,0.43041,1.6869,1.3368,2.31397,2.12772e-05,2.12772e-05,2.12772e-05
198,229.842,0.20877,0.21068,0.83789,0.64153,0.70217,0.78753,0.42919,1.6853,1.33999,2.32007,1.77429e-05,1.77429e-05,1.77429e-05
199,230.887,0.26327,0.25646,0.91649,0.66417,0.7,0.79807,0.43852,1.68412,1.32701,2.31438,1.42086e-05,1.42086e-05,1.42086e-05
200,231.929,0.21175,0.2457,0.83228,0.67822,0.7,0.79807,0.43986,1.69597,1.34055,2.31231,1.06743e-05,1.06743e-05,1.06743e-05
