epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,46.0643,0.81539,0.81476,1.18374,0.56172,0.475,0.54168,0.24938,2.07117,2.21014,2.56927,0.000572628,0.000572628,0.000572628
42,47.1554,0.77384,0.79311,1.16903,0.62737,0.57684,0.54636,0.29305,1.9708,2.17484,2.53238,0.000569094,0.000569094,0.000569094
43,48.2411,0.80618,0.77326,1.17582,0.41874,0.52715,0.59944,0.30534,1.97623,2.30492,2.60756,0.000565559,0.000565559,0.000565559
44,49.3168,0.77545,0.71206,1.16567,0.45847,0.6,0.55366,0.2671,1.83782,2.6947,2.73529,0.000562025,0.000562025,0.000562025
45,50.3752,0.82814,0.74481,1.199,0.45847,0.6,0.55366,0.2671,1.83782,2.6947,2.73529,0.000558491,0.000558491,0.000558491
46,51.463,0.74182,0.67223,1.12222,0.52546,0.5,0.57008,0.25568,2.12301,2.46033,3.21058,0.000554956,0.000554956,0.000554956
47,52.5074,0.72657,0.72732,1.1212,0.60954,0.51519,0.64476,0.24032,2.12919,2.36387,3.29594,0.000551422,0.000551422,0.000551422
48,53.5546,0.73301,0.67613,1.09391,0.69466,0.33333,0.40343,0.17009,2.18935,2.66878,3.25551,0.000547888,0.000547888,0.000547888
49,54.585,0.75864,0.7124,1.15777,0.69466,0.33333,0.40343,0.17009,2.18935,2.66878,3.25551,0.000544354,0.000544354,0.000544354
50,55.636,0.72601,0.64532,1.09929,0.6068,0.37187,0.44327,0.21994,2.00415,3.147,2.95457,0.000540819,0.000540819,0.000540819
51,56.705,0.73506,0.78008,1.19091,0.51077,0.40833,0.43839,0.17599,1.81238,3.1664,2.61635,0.000537285,0.000537285,0.000537285
52,57.8138,0.66851,0.62405,1.07593,0.73718,0.22962,0.40695,0.18199,1.68241,3.06289,2.49113,0.000533751,0.000533751,0.000533751
53,58.8735,0.71672,0.70384,1.084,0.73718,0.22962,0.40695,0.18199,1.68241,3.06289,2.49113,0.000530216,0.000530216,0.000530216
54,59.926,0.70581,0.7361,1.13027,0.67514,0.33782,0.48962,0.18838,1.73833,2.74515,2.69563,0.000526682,0.000526682,0.000526682
55,60.9719,0.71029,0.69178,1.07571,0.72029,0.45,0.52329,0.22887,1.66118,2.54939,2.60114,0.000523148,0.000523148,0.000523148
56,62.0093,0.65346,0.75933,1.15635,0.63999,0.54522,0.60898,0.26458,1.84046,2.42369,2.85217,0.000519613,0.000519613,0.000519613
57,63.0498,0.68452,0.71248,1.08322,0.63999,0.54522,0.60898,0.26458,1.84046,2.42369,2.85217,0.000516079,0.000516079,0.000516079
58,64.1235,0.68501,0.62815,1.0821,0.72434,0.48504,0.55634,0.24666,1.9467,2.25594,2.77501,0.000512545,0.000512545,0.000512545
59,65.2792,0.67897,0.5731,1.05179,0.80895,0.43333,0.55566,0.28705,1.97222,1.97808,2.56465,0.000509011,0.000509011,0.000509011
60,66.342,0.68049,0.65067,1.12607,0.73488,0.43333,0.64385,0.36198,1.97152,1.57439,2.54723,0.000505476,0.000505476,0.000505476
61,67.4198,0.63401,0.61363,1.05192,0.73488,0.43333,0.64385,0.36198,1.97152,1.57439,2.54723,0.000501942,0.000501942,0.000501942
62,68.5159,0.64693,0.58236,1.07513,0.88572,0.43333,0.65853,0.36416,2.06284,1.59621,2.65431,0.000498408,0.000498408,0.000498408
63,69.6579,0.58223,0.52753,1.03108,0.84434,0.47538,0.64447,0.33581,2.07289,1.68118,2.64166,0.000494873,0.000494873,0.000494873
64,70.7536,0.61403,0.61812,1.06381,0.89899,0.45,0.72404,0.36748,2.0793,1.64876,2.64339,0.000491339,0.000491339,0.000491339
65,71.8055,0.65213,0.74013,1.09663,0.89899,0.45,0.72404,0.36748,2.0793,1.64876,2.64339,0.000487805,0.000487805,0.000487805
66,72.8642,0.69348,0.61665,1.07997,0.76431,0.48333,0.67903,0.34128,2.09357,1.55914,2.68908,0.000484271,0.000484271,0.000484271
67,73.9275,0.62638,0.59098,1.03772,0.8009,0.38333,0.62722,0.30987,1.95341,1.61845,2.45303,0.000480736,0.000480736,0.000480736
68,75.0086,0.62526,0.57128,1.05281,0.42441,0.45942,0.52451,0.28737,1.81207,1.70756,2.27677,0.000477202,0.000477202,0.000477202
69,76.0922,0.63234,0.57717,1.07411,0.42441,0.45942,0.52451,0.28737,1.81207,1.70756,2.27677,0.000473668,0.000473668,0.000473668
70,77.1647,0.6797,0.69349,1.12853,0.68658,0.46938,0.55796,0.33846,1.67064,1.76134,2.30597,0.000470133,0.000470133,0.000470133
71,78.2264,0.56999,0.57608,1.05925,0.65928,0.45727,0.49379,0.27332,1.63173,1.89771,2.31943,0.000466599,0.000466599,0.000466599
72,79.2937,0.613,0.55866,1.073,0.81622,0.44528,0.49928,0.29959,1.66235,1.94631,2.25058,0.000463065,0.000463065,0.000463065
73,80.317,0.59254,0.59756,1.07056,0.81622,0.44528,0.49928,0.29959,1.66235,1.94631,2.25058,0.00045953,0.00045953,0.00045953
74,81.4131,0.6374,0.52866,1.06745,0.58441,0.51667,0.55368,0.34508,1.67201,1.99927,2.19624,0.000455996,0.000455996,0.000455996
75,82.4951,0.6233,0.59809,1.07081,0.71972,0.51667,0.57727,0.32079,1.68818,1.83767,2.19934,0.000452462,0.000452462,0.000452462
76,83.5595,0.62528,0.54816,1.09364,0.59784,0.61667,0.59915,0.33833,1.76926,1.70564,2.22227,0.000448928,0.000448928,0.000448928
77,84.6498,0.64479,0.53729,1.14157,0.59784,0.61667,0.59915,0.33833,1.76926,1.70564,2.22227,0.000445393,0.000445393,0.000445393
78,85.7995,0.68703,0.52057,1.10519,0.61649,0.70033,0.65891,0.35307,1.86578,1.81272,2.31088,0.000441859,0.000441859,0.000441859
79,86.8839,0.63452,0.55764,1.07561,0.622,0.68603,0.62905,0.34524,1.90014,1.90375,2.3724,0.000438325,0.000438325,0.000438325
80,87.9579,0.61264,0.51486,1.04495,0.59959,0.67266,0.66695,0.35277,1.90976,1.95101,2.40132,0.00043479,0.00043479,0.00043479
81,89.0022,0.55888,0.48814,1.04631,0.59959,0.67266,0.66695,0.35277,1.90976,1.95101,2.40132,0.000431256,0.000431256,0.000431256
82,90.0803,0.61574,0.50266,1.05596,0.78203,0.47419,0.68704,0.36031,1.84551,1.74353,2.34034,0.000427722,0.000427722,0.000427722
83,91.1688,0.59894,0.4979,1.05254,0.58204,0.73003,0.66913,0.37986,1.81616,1.69641,2.22668,0.000424187,0.000424187,0.000424187
84,92.2513,0.55942,0.52469,1.06568,0.73328,0.54202,0.62643,0.34382,1.84529,1.68284,2.14325,0.000420653,0.000420653,0.000420653
85,93.2986,0.60733,0.4886,1.05355,0.73328,0.54202,0.62643,0.34382,1.84529,1.68284,2.14325,0.000417119,0.000417119,0.000417119
86,94.3475,0.60182,0.48891,1.00564,0.64666,0.60261,0.5679,0.29584,1.84084,1.70045,2.12021,0.000413584,0.000413584,0.000413584
87,95.3886,0.58845,0.52048,1.02701,0.58358,0.73333,0.68448,0.32846,1.86509,1.88612,2.15408,0.00041005,0.00041005,0.00041005
88,96.4512,0.54197,0.5744,1.0193,0.67881,0.6,0.66943,0.32621,1.90626,2.04999,2.32913,0.000406516,0.000406516,0.000406516
89,97.4824,0.56769,0.49743,1.02837,0.67881,0.6,0.66943,0.32621,1.90626,2.04999,2.32913,0.000402982,0.000402982,0.000402982
90,98.5446,0.54112,0.5002,1.03604,0.89862,0.4,0.69851,0.32099,1.87699,1.9965,2.43161,0.000399447,0.000399447,0.000399447
91,99.6098,0.51847,0.39614,0.98777,0.66585,0.4,0.63156,0.3279,1.86141,1.99379,2.43897,0.000395913,0.000395913,0.000395913
92,100.674,0.55763,0.47942,1.01827,0.82415,0.35,0.56117,0.33146,1.86317,1.90841,2.42497,0.000392379,0.000392379,0.000392379
93,101.725,0.52225,0.45458,1.01613,0.82415,0.35,0.56117,0.33146,1.86317,1.90841,2.42497,0.000388844,0.000388844,0.000388844
94,102.803,0.54818,0.45845,1.00693,0.8566,0.35,0.55499,0.31271,1.87634,1.9192,2.37797,0.00038531,0.00038531,0.00038531
95,103.878,0.57515,0.49962,1.00477,0.8133,0.35,0.56065,0.33844,1.8796,1.76378,2.36129,0.000381776,0.000381776,0.000381776
96,104.93,0.57495,0.53478,1.04998,0.59503,0.71206,0.63119,0.35402,1.75387,1.63946,2.15611,0.000378242,0.000378242,0.000378242
97,105.971,0.50104,0.42368,0.97195,0.59503,0.71206,0.63119,0.35402,1.75387,1.63946,2.15611,0.000374707,0.000374707,0.000374707
98,107.032,0.52591,0.48111,1.05084,0.67367,0.67544,0.66722,0.37665,1.72528,1.54592,2.14249,0.000371173,0.000371173,0.000371173
99,108.097,0.54328,0.44906,1.00965,0.68486,0.68333,0.76219,0.41584,1.7187,1.40101,2.16612,0.000367639,0.000367639,0.000367639
100,109.196,0.53099,0.4578,0.94918,0.73151,0.67835,0.7582,0.4243,1.7495,1.25894,2.21993,0.000364104,0.000364104,0.000364104
101,110.263,0.516,0.4266,0.99504,0.73151,0.67835,0.7582,0.4243,1.7495,1.25894,2.21993,0.00036057,0.00036057,0.00036057
102,111.346,0.54048,0.47428,1.02955,0.55816,0.68333,0.76256,0.4224,1.77924,1.29171,2.28615,0.000357036,0.000357036,0.000357036
103,112.41,0.51862,0.46231,1.04084,0.57654,0.68333,0.8113,0.4246,1.77979,1.39888,2.30899,0.000353501,0.000353501,0.000353501
104,113.503,0.48525,0.43603,1.00775,0.6518,0.63333,0.71636,0.32808,1.83372,1.59617,2.3792,0.000349967,0.000349967,0.000349967
105,114.527,0.44349,0.41059,0.96862,0.6518,0.63333,0.71636,0.32808,1.83372,1.59617,2.3792,0.000346433,0.000346433,0.000346433
106,115.603,0.4616,0.3987,0.97068,0.74096,0.6,0.66806,0.32355,1.72637,1.71566,2.28699,0.000342899,0.000342899,0.000342899
107,116.643,0.50009,0.55424,0.99504,0.78707,0.5,0.5806,0.31855,1.7312,1.66005,2.37627,0.000339364,0.000339364,0.000339364
108,117.7,0.45156,0.37959,0.98329,0.77192,0.5,0.63574,0.35375,1.72824,1.59581,2.38764,0.00033583,0.00033583,0.00033583
109,118.742,0.41896,0.45973,0.9624,0.77192,0.5,0.63574,0.35375,1.72824,1.59581,2.38764,0.000332296,0.000332296,0.000332296
110,119.81,0.47301,0.40391,0.9881,0.72509,0.6,0.69156,0.35542,1.70784,1.71126,2.32545,0.000328761,0.000328761,0.000328761
111,120.846,0.48621,0.4393,0.96729,0.6353,0.63333,0.67852,0.35295,1.70024,1.7547,2.31214,0.000325227,0.000325227,0.000325227
112,121.881,0.43891,0.38078,0.95668,0.8549,0.53333,0.67518,0.35899,1.64882,1.79829,2.22647,0.000321693,0.000321693,0.000321693
113,122.918,0.50745,0.45012,1.03739,0.8549,0.53333,0.67518,0.35899,1.64882,1.79829,2.22647,0.000318158,0.000318158,0.000318158
114,123.988,0.53149,0.50147,1.02812,0.88039,0.52955,0.69746,0.39624,1.6351,1.77627,2.16017,0.000314624,0.000314624,0.000314624
115,125.169,0.49039,0.42342,0.95951,0.77523,0.63333,0.7162,0.3898,1.67264,1.74509,2.20724,0.00031109,0.00031109,0.00031109
116,126.246,0.47096,0.38975,0.97308,0.80489,0.63333,0.75449,0.4052,1.71847,1.74865,2.24148,0.000307555,0.000307555,0.000307555
117,127.271,0.47829,0.41806,0.98835,0.80489,0.63333,0.75449,0.4052,1.71847,1.74865,2.24148,0.000304021,0.000304021,0.000304021
118,128.315,0.48845,0.43388,1.03518,0.70593,0.63333,0.65049,0.33573,1.76434,1.62372,2.27466,0.000300487,0.000300487,0.000300487
119,129.377,0.4298,0.33135,0.92996,0.80348,0.53333,0.62721,0.32387,1.78105,1.61319,2.24564,0.000296953,0.000296953,0.000296953
